"episodeSeqNum","castID","role","notes"
"58","2",NULL,NULL
"58","4",NULL,NULL
"59","1",NULL,NULL
"59","2",NULL,NULL
"59","4",NULL,NULL
"59","73",NULL,NULL
"60","1",NULL,NULL
"60","2",NULL,NULL
"60","4",NULL,NULL
"60","7",NULL,NULL
"60","12",NULL,NULL
"61","1",NULL,NULL
"61","2",NULL,NULL
"61","4",NULL,NULL
"61","7",NULL,NULL
"62","2",NULL,NULL
"62","4",NULL,NULL
"62","7",NULL,NULL
"62","12",NULL,NULL
"63","1",NULL,NULL
"63","2",NULL,NULL
"63","4",NULL,NULL
"63","7",NULL,NULL
"63","19",NULL,NULL
"63","56",NULL,NULL
"64","1",NULL,NULL
"64","2",NULL,NULL
"64","4",NULL,NULL
"64","19","guest",NULL
"64","26",NULL,NULL
"64","55","guest",NULL
"64","96","guest",NULL
"65","1",NULL,NULL
"65","2",NULL,NULL
"65","4",NULL,NULL
"65","21",NULL,NULL
"66","1",NULL,NULL
"66","2",NULL,NULL
"66","4",NULL,NULL
"66","13","guest",NULL
"66","34",NULL,NULL
"66","36",NULL,NULL
"67","1",NULL,NULL
"67","2",NULL,NULL
"67","4",NULL,NULL
"67","19",NULL,NULL
"68","1",NULL,NULL
"68","2",NULL,NULL
"68","3",NULL,NULL
"68","19",NULL,NULL
"68","31",NULL,NULL
"69","1",NULL,NULL
"69","2",NULL,NULL
"69","3",NULL,NULL
"69","4",NULL,NULL
"69","12",NULL,NULL
"69","22",NULL,NULL
"69","106",NULL,NULL
"70","1",NULL,NULL
"70","3",NULL,NULL
"70","4",NULL,NULL
"70","22",NULL,NULL
"70","23",NULL,NULL
"70","64",NULL,NULL
"71","1",NULL,NULL
"71","2",NULL,NULL
"71","4",NULL,NULL
"71","8","guest",NULL
"71","59",NULL,NULL
"72","1",NULL,NULL
"72","2",NULL,NULL
"72","4",NULL,NULL
"73","1",NULL,NULL
"73","2",NULL,NULL
"73","3",NULL,NULL
"73","4",NULL,NULL
"73","12",NULL,NULL
"73","23",NULL,NULL
"74","1",NULL,NULL
"74","2",NULL,NULL
"74","3",NULL,NULL
"74","4",NULL,NULL
"74","17",NULL,NULL
"74","56",NULL,NULL
"74","72",NULL,NULL
"75","1",NULL,NULL
"75","2",NULL,NULL
"75","7",NULL,NULL
"75","10",NULL,NULL
"76","1",NULL,NULL
"76","2",NULL,NULL
"76","3",NULL,NULL
"76","4",NULL,NULL
"76","7",NULL,NULL
"76","12",NULL,NULL
"76","52",NULL,NULL
"77","1",NULL,NULL
"77","2",NULL,NULL
"77","4",NULL,NULL
"77","13","guest",NULL
"78","1",NULL,NULL
"78","2",NULL,NULL
"78","3",NULL,NULL
"78","4",NULL,NULL
"78","17",NULL,NULL
"79","1",NULL,NULL
"79","2",NULL,NULL
"79","3",NULL,NULL
"79","4",NULL,NULL
"79","23",NULL,NULL
"80","1",NULL,NULL
"80","2",NULL,NULL
"80","4",NULL,NULL
"80","7",NULL,NULL
"80","18",NULL,NULL
"80","62",NULL,NULL
"81","1",NULL,NULL
"81","2",NULL,NULL
"81","3",NULL,NULL
"81","4",NULL,NULL
"81","95",NULL,NULL
"82","1",NULL,NULL
"82","2",NULL,NULL
"82","4",NULL,NULL
"82","12",NULL,NULL
"82","22",NULL,NULL
"83","1",NULL,NULL
"83","2",NULL,NULL
"83","4",NULL,NULL
"83","103",NULL,NULL
"84","1",NULL,NULL
"84","2",NULL,NULL
"84","7",NULL,NULL
"84","19",NULL,NULL
"84","43",NULL,NULL
"85","1",NULL,NULL
"85","2",NULL,NULL
"85","4",NULL,NULL
"85","7",NULL,NULL
"86","1",NULL,NULL
"86","2",NULL,NULL
"86","4",NULL,NULL
"86","101",NULL,NULL
"87","1",NULL,NULL
"87","2",NULL,NULL
"87","4",NULL,NULL
"87","10",NULL,NULL
"87","20","guest",NULL
"87","22",NULL,NULL
"88","1",NULL,NULL
"88","2",NULL,NULL
"88","3",NULL,NULL
"88","4",NULL,NULL
"88","7",NULL,NULL
"88","99",NULL,NULL
"89","1",NULL,NULL
"89","2",NULL,NULL
"89","8",NULL,NULL
"89","18",NULL,NULL
"89","105",NULL,NULL
"90","1",NULL,NULL
"90","2",NULL,NULL
"90","3",NULL,NULL
"90","4",NULL,NULL
"90","31",NULL,NULL
"91","1",NULL,NULL
"91","2",NULL,NULL
"91","4",NULL,NULL
"91","13",NULL,NULL
"92","1",NULL,NULL
"92","2",NULL,NULL
"92","4",NULL,NULL
"92","15",NULL,"sometimes introduced as ""Meow Blitz"""
"93","1",NULL,NULL
"93","2",NULL,NULL
"93","4",NULL,NULL
"94","1",NULL,NULL
"94","2",NULL,NULL
"94","3",NULL,NULL
"94","4",NULL,NULL
"95","1",NULL,NULL
"95","2",NULL,NULL
"95","4",NULL,NULL
"95","10",NULL,NULL
"96","1",NULL,NULL
"96","2",NULL,NULL
"96","4",NULL,NULL
"96","10",NULL,NULL
"97","1",NULL,NULL
"97","4",NULL,NULL
"97","9",NULL,NULL
"97","42",NULL,NULL
"98","1",NULL,NULL
"98","2",NULL,NULL
"98","4",NULL,NULL
"98","18",NULL,NULL
"99","1",NULL,NULL
"99","2",NULL,NULL
"99","4",NULL,NULL
